what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337055434742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337055443369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055446138
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1337055450446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055450465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337055452601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055452857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055454567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055458619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055475488
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337055477033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055480470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055530569
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337055530591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055532744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055578486
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337055578600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055607146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1337055612792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055612813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055629012
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337055645206
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337055645244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055645388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055648870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055650399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055650923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055653165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337055654208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056003106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056007241
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1337056012024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056012138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056012495
error,log,,,"Problems encountered during text search.",1337056013868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056015302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056016317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056017818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056020813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056109271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056111061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056115540
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337056115567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337056115969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337056121005
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337056122461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337056124787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056132958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056133614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056143460
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337056146339
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337056146389
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1337056146402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056146416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056277498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056285396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337056290527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056294496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056297562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1337056300029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056302419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056303315
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337056307547
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1337056307569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056314204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056315255
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337056317812
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337056440227
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337056511490
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337056511533
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337056511565
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337056537874
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337056537912
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337056537939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056540226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1337056541878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337056541897
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337056585473
