what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1339044906284
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1339044906316
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1339044906317
os,sysinfo,,,"linux",1339044906319
arch,sysinfo,,,"x86_64",1339044906319
ws,sysinfo,,,"gtk",1339044906319
locale,sysinfo,,,"zh_CN",1339044906319
processors,sysinfo,,,"4",1339044906320
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1339044906320
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1339044906320
java.specification.name,sysinfo,,,"Java Platform API Specification",1339044906320
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339044906320
java.specification.version,sysinfo,,,"1.6",1339044906320
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1339044906320
java.version,sysinfo,,,"1.6.0_20",1339044906320
java.vm.info,sysinfo,,,"mixed mode",1339044906320
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1339044906320
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339044906320
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339044906320
java.vm.specification.version,sysinfo,,,"1.0",1339044906320
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1339044906320
java.vm.version,sysinfo,,,"19.0-b09",1339044906320
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1339044906347
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1339044907196
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1339044908990
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1339044908992
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339044909331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339044909760
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1339044910130
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1339044910304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339044911286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339044912441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339044936794
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339044937355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339044938344
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339044941464
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339044941494
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1339044941578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339044941588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339044942441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339044945071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339044951510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339044974749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339044975958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045006823
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339045009726
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1339045014057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045020711
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Commit",1339045028588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045028601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045029513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045039769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045040364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045042290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045050803
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Commit",1339045059897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045059909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045069528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045071330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045075570
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Commit",1339045129516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045129525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045129874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045130615
opened,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.sync.views.SynchronizeView",1339045137399
opened,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.GenericHistoryView",1339045137479
opened,view,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui.views.repositories",1339045137653
activated,perspective,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.TeamSynchronizingPerspective",1339045137671
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1339045137888
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1339045138219
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339045138475
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1339045139225
opened,view,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1339045146054
activated,perspective,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.svnPerspective",1339045146094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1339045146098
executed,command,,,"org.tigris.subversion.subclipse.ui.svnPerspective",1339045146098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339045152339
opened,view,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.RepositoriesView",1339045157238
