what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062011380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062018005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062025628
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.RepositoriesViewImportProjects",1337062030061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062030085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062041245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062053302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062054906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062274608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062275111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062282261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062282872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062319726
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1337062322966
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337062322999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062324263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062325067
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337062326206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062330000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062340889
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1337062342458
activated,view,com.foosbar.mailsnag,1.0.3,"com.foosbar.mailsnag.views.MessagesView",1337062345339
opened,editor,com.foosbar.mailsnag,1.0.3,"com.foosbar.mailsnag.editors.MessageEditor",1337062346252
activated,editor,com.foosbar.mailsnag,1.0.3,"com.foosbar.mailsnag.editors.MessageEditor",1337062346289
activated,view,com.foosbar.mailsnag,1.0.3,"com.foosbar.mailsnag.views.MessagesView",1337062346308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062350532
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337062353752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062358514
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337062361204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062366811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062382140
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1337062382316
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1337062383346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062384927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062386748
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337062388118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062389154
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1337062395858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062395902
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1337062402409
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1337062402545
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1337062402628
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1337062405953
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337062405958
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1337062407681
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337062407733
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1337062407733
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1337062411146
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1337062413643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337062416250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337062418373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062419519
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1337062424921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062425060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337062425440
error,log,,,"Problems encountered during text search.",1337062426938
