what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337053355857
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337053355857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1337053358918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053358939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053378472
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053379687
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337053379687
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337053380646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1337053383774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053383785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053390812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053404483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053416587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337053420616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337053449445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053450272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053462631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337053472232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053476159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053490383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337053497752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337053502957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337053505487
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1337053509301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337053511214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053532661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053545039
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337053546703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053557225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053558302
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337053558322
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337053559629
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337053577643
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053577817
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337053577844
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053584276
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337053584301
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053591243
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337053591267
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053606716
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053613197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337053618432
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053619500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337053621707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337053623227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053630941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053647951
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337053649007
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337053672183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337053681857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337053683177
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053689337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053692592
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1337053695224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053695243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337053698194
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337053705935
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053706420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053709497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053727010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053746831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053760919
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337053789639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053797862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053855953
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053858504
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053867079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337053871117
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053872762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337053875022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337053876160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053876403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053878445
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053884080
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053885473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053889552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053905150
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337053908695
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053924817
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053930505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053939320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053968109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053979182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337053992997
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337053998482
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337054001440
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337054007842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337054015420
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337054016575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337054019272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337054021487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337054025619
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1337054028601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337054028617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337054046766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337054047147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337054050721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337054051667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337054058832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337054066944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337054087245
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337054088454
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337054088891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337054107213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337054134021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337054137319
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337054140599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337054141500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337054141740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337054147157
